PERIODO,NIU,DIUG,FIUG,CEC,VCD,VCF,GRUPO_CALIDAD_x,NIVEL_TENSION_x,CARGO_DISTRIBUCION,CONSUMO_MES,MES_FACTURADOS,%_PROP._ACTIVO,COMPENSADO,ALTITUD,LONGITUD,LATITUD
2025-07,1590762,8.49,7,0.0,0.0,0.0,13,1,398.997,161.0,1,100,0,15.0,-77.022941,3.884673
2025-08,3367783,10.25,13,82.127,6543.401,0.0,12,1,398.37,82.0,1,100,1,969.0,-76.520196,3.24837
2025-08,1572747,8.49,7,0.0,0.0,0.0,13,1,398.37,0.0,2,100,1,15.0,-77.076691,3.889673
2025-08,20240185203,40.96,23,0.0,0.0,0.0,31,1,326.865,46.0,1,0,0,989.0,-76.298584,3.49822
2025-08,2905173,8.49,7,0.0,0.0,0.0,13,1,398.37,109.0,1,100,0,1.0,-77.035474,3.877257
2025-08,3668872,40.96,23,117.483,0.0,9360.331,31,1,398.37,231.0,2,100,1,1013.0,-76.291891,3.304688
2025-07,1856415,40.96,23,0.0,0.0,0.0,31,1,398.997,0.0,2,100,0,951.0,-76.414948,3.617616
2025-07,3459511,40.96,23,0.0,0.0,0.0,31,1,398.997,224.0,1,100,0,947.0,-76.469978,3.455585
2025-07,1910765,57.02,26,62.99,5026.593,0.0,32,1,398.997,122.0,2,100,1,1402.0,-76.047727,4.982267
2025-07,3102304,40.96,23,0.0,0.0,0.0,31,1,398.997,114.0,1,100,0,948.0,-76.466135,3.456169
2025-08,2015648,11.91,11,108.279,8627.003,0.0,22,1,398.37,108.0,1,100,1,959.0,-75.99476,4.794626
2025-07,1000608,57.02,26,0.0,0.0,0.0,32,1,398.997,236.0,2,100,0,973.0,-76.258589,3.960603
2025-07,1642782,10.87,11,82.0,6543.553,0.0,11,1,398.997,82.0,1,100,1,992.0,-76.318006,3.543395
2025-07,1267190,40.96,23,6.561,523.566,523.566,31,1,398.997,13.0,2,100,1,1208.0,-76.203503,3.399089
2025-08,2759836,8.49,7,0.0,0.0,0.0,13,1,398.37,51.0,1,100,0,23.0,-77.018371,3.886709
2025-07,4179305,11.1,12,65.118,5196.361,0.0,21,1,398.997,65.0,1,100,1,976.0,-76.330038,3.767701
2025-08,1776003,40.96,23,0.0,0.0,0.0,31,1,398.37,77.0,2,100,0,1010.0,-76.291373,3.352119
2025-08,2063057,11.1,12,0.0,0.0,0.0,21,1,398.37,206.0,1,100,0,955.0,-76.100637,4.529192
2025-07,1529979,11.1,12,0.0,0.0,0.0,21,1,398.997,250.0,1,100,0,1038.0,-76.240411,3.327276
2025-08,1452159,10.87,11,25.442,2027.064,0.0,11,1,398.37,25.0,1,100,1,1002.0,-76.311936,3.545894
2025-08,2716485,10.87,11,0.0,0.0,0.0,11,1,398.37,54.0,1,100,0,1001.0,-76.29846,3.519641
2025-08,1975650,57.02,26,0.0,0.0,0.0,32,1,398.37,322.0,2,100,0,1194.0,-75.80145,4.330465
2025-08,20250152796,57.02,26,0.0,0.0,0.0,32,1,398.37,0.0,2,100,0,957.0,-76.527889,3.22877
2025-07,1476108,10.87,11,0.0,0.0,0.0,11,1,398.997,206.0,1,100,0,1006.0,-76.308568,3.557719
2025-07,3215792,11.1,12,3.0,239.398,0.0,21,1,398.997,3.0,1,100,1,1075.0,-76.233717,3.416009
2025-08,1973104,57.02,26,0.0,0.0,0.0,32,1,398.37,0.0,2,100,0,1307.0,-76.041749,4.109515
2025-08,4192147,57.02,26,0.0,0.0,0.0,32,1,398.37,60.0,1,100,0,1037.0,-76.268321,3.613459
2025-07,1395516,10.25,13,6.0,478.797,0.0,12,1,398.997,6.0,1,100,1,974.0,-76.538253,3.255004
2025-07,1816692,8.49,7,0.0,0.0,0.0,13,1,398.997,117.0,1,100,0,5.0,-77.006662,3.872503
2025-07,1433097,10.87,11,0.0,0.0,0.0,11,1,398.997,108.0,1,100,0,997.0,-76.313545,3.542294
2025-08,3877838,57.02,26,0.0,0.0,0.0,32,1,398.37,3.0,1,100,0,986.0,-76.516668,3.231147
